Title,Authors,Date,Number of Translations,Original Language
The Bible,See Authorship of the Bible,See Dating the Bible,"3,384 (at least one book)2,191 (at least New Testament)698 (Old and New Testaments, includingthe Protocanonical books)[1]","Hebrew,Aramaic,Koine Greek
"
The Little Prince,Antoine de Saint-Exupéry,1943,>500[2],"French
"
The Adventures of Pinocchio,Carlo Collodi,1883,240-260[3][4],"Italian
"
Dao De Jing,Laozi,400 BCE,>250[5],"Classical Chinese
"
The Communist Manifesto,Karl Marx and Friedrich Engels,1848,>200[6],"German
"
Alice's Adventures in Wonderland,Lewis Carroll,1865,174[7],"English
"
Grimm's Fairy Tales,Jacob and Wilhelm Grimm,1812–1858,170[8],"German
"
Steps to Christ,Ellen G. White,1892,>160[9],"English
"
El Ingenioso Hidalgo Don Quijote de la Mancha,Miguel de Cervantes Saavedra,1615,>140 (complete and portions)[10][11],"Spanish
"
Andersen's Fairy Tales,Hans Christian Andersen,1835–1852,129[12],"Danish
"
The Adventures of Asterix,René Goscinny & Albert Uderzo,1959–present,115[13] (not all volumes are available in all languages),"French
"
Book of Mormon,See Origin of the Book of Mormon,1830,110[14],"English
"
"The Prophet
","Kahlil Gibran
","1923
","108[15]
","English
"
Quran,See History of the Quran,650,>102[16],"Classical Arabic
"
The Upright Revolution: Or Why Humans Walk Upright,Ngũgĩ wa Thiong'o,2016,100[17],"Gikuyu
"
The Adventures of Tintin,Hergé,1929–1976,96[18] (not all volumes are available in all languages),"French
"
The Imitation of Christ,Thomas à Kempis,1418,95[19],"Latin
"
Harry Potter,J. K. Rowling,1997–2007,85[20],"English
"
Winnie-the-Pooh,A. A. Milne,1926,74[21],"English
"
The Diary of a Young Girl,Anne Frank,1947,73[22],"Dutch
"
The Way to Happiness,L. Ron Hubbard,1980,114[23],"English
"
The Kon-Tiki Expedition: By Raft Across the South Seas,Thor Heyerdahl,1948,>70[24],"Norwegian
"
Pippi Longstocking,Astrid Lindgren,1945,70[25],"Swedish
"
The Alchemist,Paulo Coelho,1988,70[26][27],"Portuguese
"
"Sophie's World
","Jostein Gaarder
","1991
","65[28]
","Norwegian
"
The Adventures of Huckleberry Finn,Mark Twain,1885,65[29],"English
"
Nineteen Eighty-Four,George Orwell,1949,65[30],"English
"
Through the Looking-Glass,Lewis Carroll,1871,65[31],"English
"
Isha Upanishad,Various,500 BCE,64[32],"Sanskrit
"
Kalevala,Elias Lönnrot (compiler),1835/1849,61[33],"Finnish
"
Quo vadis,Henryk Sienkiewicz,1895,61[34][35],"Polish
"
The Hobbit,J. R. R. Tolkien,1937,59,"English
"
The Good Soldier Švejk,Jaroslav Hašek,1923,58[36],"Czech
"
Bhagavad Gita,Vyasa,400 BCE,59[37],"Sanskrit
"
The Lord of the Rings,J. R. R. Tolkien,1954–1955,"57[38] languages, with 87 translations total","English
"
Things Fall Apart,Chinua Achebe,1958,57[39],"English
"
A Doll's House,Henrik Ibsen,1879,56[40],"Norwegian
"
Seven Brief Lessons on Physics,Carlo Rovelli,2014,52[41],"Italian
"
Never Let Me Go,Kazuo Ishiguro,2005,52,"English
"
The Boy in the Striped Pyjamas,John Boyne,2006,52,"English
"
The House at Pooh Corner,A. A. Milne,1928,"52[42] languages, with 97 translations in total","English
"
"Autobiography of a Yogi
","Paramahansa Yogananda
","1946
","50[43][44]
","English
"
Heidi,Johanna Spyri,1880,50[45],"German
"
"Out Stealing Horses
","Per Petterson
","2003
","50[46]
","Norwegian
"
Cien Años de Soledad,Gabriel García Márquez,1967,47[47],"Spanish
"
The Chronicles of Narnia,C. S. Lewis,1950–1957,47[48],"English
"
The Bridge on the Drina,Ivo Andrić,1945,47[49],"Serbo-Croatian
"
The little witch,Otfried Preußler,1957,47[50],"German
"
The Story of San Michele,Axel Munthe,1929,>45[51],"English
"
The General of the Dead Army,Ismail Kadare,1963,45[52],"Albanian
"
The Stranger,Albert Camus,1942,45[53],"French
"
The Very Hungry Caterpillar,Eric Carle,1969,45[54],"English
"
The Da Vinci Code,Dan Brown,2003,44[55],"English
"
Tirukkural,Valluvar,c. 500 BCE – c. 100 CESee Dating the Tirukkural,44,"Tamil
"
The Moomins,Tove Jansson,1945,43[56],"Swedish
"
The Robber Hotzenplotz,Otfried Preußler,1962,43[57],"German
"
Das Kapital,Karl Marx and Friedrich Engels,1867,>42 (The number 42 gives the number of other languages in 1967)[58],"German
"
Invisible Cities,Italo Calvino,1972,42[59],"Italian
"
The English Roses,Madonna,2003,42[60],"English
"
Atonement,Ian McEwan,2001,42,"English
"
The Great Gatsby,F. Scott Fitzgerald,1925,42[61],"English
"
The Kite Runner,Khaled Hosseini,2003,42[62],"English
"
Solaris,Stanisław Lem,1961,42[63][64][65],"Polish
"
A Series of Unfortunate Events,Lemony Snicket,1999–2006,41[66],"English
"
The Egyptian,Mika Waltari,1945,41[67],"Finnish
"
"The Leopard
","Jo Nesbø
","2009
","40[68]
","Norwegian
"
Before I Go to Sleep,S. J. Watson,2011,40[69],"English
"
Miffy,Dick Bruna,1955,40[70],"Dutch
"
Paddington Bear,Michael Bond,1958,40[citation needed],"English
"
The Tragedy of Man,Imre Madách,1861,40[71],"Hungarian
"
Amsterdam,Ian McEwan,1998,39,"English
"
The Family of Pascual Duarte,Camilo José Cela,1942,39[72],"Spanish
"
A Song of Ice and Fire,George R.R. Martin,1996–present,39[citation needed],"English
"
Dictionary of the Khazars,Milorad Pavić,1984,39[73][74],"Serbian
"
"Silence in the Age of Noise
","Erling Kagge
","2016
","38[75]
","Norwegian
"
"The Bookseller of Kabul
","Åsne Seierstad
","2002
","38[76]
","Norwegian
"
Mr. Peabody's Apples,Madonna,2003,38[77],"English
"
"Discworld
","Terry Pratchett
","1983–2015
","37[78] or 38[79]
","English
"
Cold Skin,Albert Sánchez Piñol,2002,37[80],"Catalan
"
The Book of Mirrors,Eugen Chirovici,2017,37[81],"English
"
Krabat,Otfried Preußler,1962,37[82],"German
"
Perfume,Patrick Süskind,1985,37[83],"German
"
Anne of Green Gables,Lucy Maud Montgomery,1908,36[84],"English
"
Norwegian Wood,Haruki Murakami,1987,36[85],"Japanese
"
White Teeth,Zadie Smith,1999,36[citation needed],"English
"
Dead Until Dark,Charlaine Harris,2001,35[86],"English
"
The Tale of Peter Rabbit,Helen Beatrix Potter,1902,35[87],"English
"
Totto-Chan: The Little Girl at the Window,Tetsuko Kuroyanagi,1981,35[88],"Japanese
"
Pan Tadeusz,Adam Mickiewicz,1834,34[89],"Polish
"
The Time of the Doves,Mercè Rodoreda,1962,34[90],"Catalan
"
The Paul Street Boys,Ferenc Molnár,1907,33[citation needed],"Hungarian
"
Ender's Game,Orson Scott Card,1985,33[91],"English
"
Gone With the Wind,Margaret Mitchell,1936,32[92],"English
"
Bambi: A Life in the Woods,Felix Salten,1923,32[93],"German
"
Captain Underpants,Dav Pilkey,1997–2015,31[citation needed],"English
"
'Art',Yasmina Reza,1994,30[94],"French
"
Buddenbrooks,Thomas Mann,1901,30[95],"German
"
Chasing Vermeer,Blue Balliett,2003,30[96],"English
"
Isadora Moon,Harriet Muncaster,2016,30[97],"English
"
Spiderwick,Tony DiTerlizzi and Holly Black,2003,30[98],"English
"
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,1998,30[99],"English
"
The Pillars of the Earth,Ken Follett,1989,30[100],"English
"
The Tale of Genji,Murasaki Shikibu,1001,30[101],"Japanese
"
Under the Yoke,Ivan Vazov,1893,30[102],"Bulgarian
"
